Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Truro,Town,2017-18,11123179,9193705,0,194,9193899,18800,272,19072,5432,0,1070,0,6502,69255,0,0,69255,20411907,0,751450,0,0,751450,431849,0,431849,-2530333,-170009,-95774,-2796116,18799090,701028,49922,59341,0,109263,810291,0,0,302504,302504,160986,133415,0,9189,0,0,13381,1998084,0,0,2315055,6294,126140,2727,0,68045,259266,252218,714690,1346640,17666,68560,0,12295,0,1445161,762135,709172,873121,0,2344428,0,3723804,0,30455023,42959,5398,144374,43551,0,236282,2957949,195875,154132,64597,3372553,57634,59910,11443,613688,398538,4750048,5403304,0,1674262,1674262,27800,0,306065,251427,7662858,1082122,2771849,0,0,0,50544,0,2022145,0,5926660,1827600,493923,0,0,0,0,0,308275,0,2629798,0,103031,0,0,0,103031,616006,36291,0,0,5197,218412,875906,4342624,138967,81713,,488793,0,971306,0,6023403,0,0,0,0,2105578,56648,627651,2789877,0,0,0,0,30761581
Westville,Town,2017-18,2671727,416725,0,0,416725,36013,158,36171,0,0,196,0,196,20921,0,0,20921,3145740,0,251634,0,0,251634,47909,0,47909,-426180,-37458,-57005,-520643,2924640,0,2844,5927,0,8771,8771,0,0,64274,64274,0,0,0,0,0,0,5902,25909,0,0,31811,2610,5907,103765,0,9878,49984,206218,378362,684391,829,22773,0,0,0,707993,225889,4887,100000,0,330776,0,741304,0,5187931,13005,1903,40635,9634,1214,66391,339972,18614,42619,-1489,399716,73046,9810,0,55834,595339,1200136,1104309,0,99888,99888,5547,0,50750,16588,1277082,175867,478663,0,0,7400,29456,0,186032,0,877418,197413,246762,0,0,0,25625,0,121443,0,591243,0,0,0,0,0,0,64014,0,0,0,0,1996,66010,178265,671,32087,,0,0,18060,9433,238516,0,0,0,0,831840,7215,68088,907143,0,0,0,0,5157548
Windsor,Town,2017-18,3216210,1948305,0,0,1948305,11556,0,11556,0,0,2211,0,2211,19144,0,-39348,-20204,5158078,29300,847516,40935,-40935,876816,168125,0,168125,-671100,-44940,-35894,-751934,5451085,69997,42178,29633,0,71811,141808,0,0,53754,53754,1078,0,0,0,0,0,0,408866,0,0,409944,9557,23371,51557,0,73244,63963,70280,291972,430403,3857,64972,0,0,0,499232,244925,908593,475349,130968,1759835,0,1498681,0,10106311,27389,6637,66918,1789,3413,106146,553804,67943,42914,0,664661,-26768,20088,0,133710,331978,1229815,926766,0,304423,304423,0,0,39665,91701,1362555,493714,558657,0,0,0,118366,0,445867,0,1616604,434432,323852,0,0,0,61790,0,154460,0,974534,54604,0,0,0,0,54604,108410,89291,0,0,1021,56084,254806,815505,25650,23779,,0,0,74995,2314,942243,-214488,0,0,-214488,890686,109397,235535,1235618,0,0,0,0,7456291
Wolfville,Town,2017-18,5628391,1097860,0,0,1097860,9563,0,9563,0,0,1119,0,1119,18882,0,0,18882,6755815,475638,389878,0,0,865516,424411,0,424411,-674808,-81129,-46063,-802000,7243742,20573,966669,0,0,966669,987242,0,0,0,0,6662,273200,0,2630,0,0,68987,20013,0,0,371492,32695,49368,22184,0,41106,72997,20132,238482,69869,3615,42812,0,0,0,116296,320804,23718,15853,63010,423385,0,676114,0,10056753,32756,0,109661,32842,0,175259,931878,77034,75359,0,1084271,0,0,5990,195497,55000,1516017,1414892,0,346170,346170,9455,0,179165,144642,2094324,170914,1136510,0,0,152588,114529,0,720345,0,2294886,247305,456846,0,0,0,9681,0,195895,0,909727,0,0,0,0,0,0,446918,298312,941,0,104964,77757,928892,642940,29283,24320,,3808,0,15880,0,716231,0,0,0,0,682547,17330,142300,842177,0,0,0,0,9302254
Yarmouth,Town,2017-18,4515935,5607506,0,0,5607506,9773,0,9773,0,0,0,0,0,50396,0,0,50396,10183610,502560,1589580,0,0,2092140,209208,0,209208,-1277109,-87614,-225313,-1590036,10894922,179095,826436,44508,0,870944,1050039,0,0,765804,765804,840,10484,27478,76613,626802,0,0,0,92784,0,835001,33789,50860,845716,555588,40795,106082,256665,1889495,727970,14645,80208,0,236,0,823059,581701,2379473,43477,0,3004651,975879,2573458,0,22812308,43660,0,141721,34693,66847,286921,974585,317273,85208,0,1377066,93090,0,0,75792,125370,1958239,2543690,417893,1896149,2314042,0,0,160771,182404,5200907,776117,886550,0,0,168676,92745,0,888684,0,2812772,1045345,1171837,0,0,0,0,0,834878,63788,3115848,0,0,0,0,0,0,295586,1893040,0,0,113663,735851,3038140,835152,38360,44478,,0,0,638671,0,1556661,0,622655,0,622655,2139564,0,322981,2462545,0,0,0,0,20767767
Annapolis,Rural Municipality,2017-18,10300194,884549,64586,56570,1005705,499350,10686,510036,5389,0,0,0,5389,97787,12089,0,109876,11931200,1552608,916927,285197,-284796,2469936,904497,0,904497,-3598932,-257160,-95365,-3951457,11354176,107596,496389,0,1249,497638,605234,0,0,0,0,0,1398,186173,0,450,0,0,0,0,0,188021,50322,29167,236294,0,26196,137642,261351,740974,811257,0,56296,0,134629,0,1002182,714540,91037,2291336,0,3096913,0,1087421,0,18074920,54925,34707,283676,123591,483020,979919,708733,173564,406998,0,1289295,6847,32347,0,109213,1170578,3588199,2319866,9772,1013566,1023338,13013,0,16298,341457,3713972,253542,726720,0,0,491802,28399,0,264642,57722,1822827,778163,1543589,0,0,0,327,0,405271,10748,2738098,0,0,0,0,0,0,358774,54496,0,0,1183,100905,515358,812222,0,120718,,5882,0,188429,452543,1579794,0,-200000,0,-200000,627512,57012,298222,982746,0,0,0,0,14740995
Antigonish,Rural Municipality,2017-18,8239628,1246526,0,39765,1286291,636837,3496,640333,0,250703,109216,0,359919,67147,0,0,67147,10593318,1332744,0,0,0,1332744,434223,0,434223,-3318393,-203815,-40000,-3562208,8798077,4390,182554,0,0,182554,186944,0,0,0,0,0,0,0,0,800062,0,453855,101557,0,0,1355474,1800,21624,348065,0,13848,63730,903227,1352294,0,7524,30731,0,8883,0,47138,640697,5357,62973,0,709027,0,963722,0,13412676,37707,0,191445,78218,0,307370,1022550,166509,308857,0,1497916,0,19864,121126,99833,604488,2650597,1425055,432518,692277,1124795,0,0,0,49622,2599472,0,354151,0,0,0,8131,0,157567,0,519849,562068,1358228,0,0,0,75755,0,517622,0,2513673,112000,0,0,0,0,112000,0,847907,0,0,0,0,847907,971631,74311,125540,,23476,0,30635,0,1225593,0,0,0,0,911169,20616,149349,1081134,0,0,0,0,11550225
Argyle,Rural Municipality,2017-18,4463436,1100797,1129,274,1102200,358473,10863,369336,11235,32774,7016,1432,52457,42985,182981,0,225966,6213395,35964,199483,228900,-228657,235690,173100,216387,389487,-1535299,-105368,-6962,-1647629,5190943,10512,132182,8346,0,140528,151040,0,0,41946,41946,0,0,0,0,0,0,0,0,54705,0,54705,16264,7803,5000,0,244499,68746,2240341,2582653,154923,13478,16627,0,0,0,185028,167347,383108,244114,17009,811578,0,0,0,9017893,31764,3139,158452,38005,0,231360,609636,127133,193435,97564,1027768,12110,0,6467,12399,271690,1561794,881080,0,353759,353759,0,0,13547,307185,1555571,0,46007,253577,0,0,0,0,34645,404855,739084,229472,658378,0,0,0,10306,0,358610,448493,1705259,56453,0,0,0,25680,82133,81700,109376,0,0,115458,2510309,2816843,353126,171521,54013,,0,0,33366,88857,700883,-14225,0,0,-14225,0,0,0,0,0,0,0,0,9147342
Barrington,Rural Municipality,2017-18,3441320,1430611,0,0,1430611,240608,3224,243832,0,0,4418,0,4418,39207,28316,0,67523,5187704,512048,302329,0,0,814377,21050,6200,27250,-1279703,-90261,-25004,-1394968,4634363,47627,93648,0,2341,95989,143616,0,0,117847,117847,106367,391241,0,0,0,0,0,189172,0,0,686780,40097,0,95688,0,16051,158630,421991,732457,151335,0,21695,0,22366,0,195396,333296,1299,137657,30577,502829,0,0,0,7013288,25359,5982,78980,4452,0,114773,1048547,72996,136060,0,1257603,6287,0,1657,165781,170468,1716569,933549,0,951804,951804,21320,0,0,154823,2061496,0,260624,0,0,0,0,0,10806,0,271430,264674,718054,0,201290,201290,0,0,173402,0,1357420,20583,0,0,1128,0,21711,6105,116870,5611,0,76563,204524,409673,618891,21259,44470,,9016,0,236270,4440,934346,0,0,0,0,0,0,0,0,0,0,0,0,6772645
Chester,Rural Municipality,2017-18,9960730,1379092,0,8590,1387682,306473,27323,333796,4360,0,6783,0,11143,48870,663102,0,711972,12405323,2076127,939720,1582531,-1598933,2999445,963953,0,963953,-4645558,-234641,-17105,-4897304,11471417,50145,90482,5010,6814,102306,152451,0,0,3075494,3075494,0,33358,0,0,0,0,72178,103508,834493,0,1043537,78796,33392,24264,0,194135,177251,1297724,1805562,0,20904,49513,0,95910,0,166327,592539,1950993,78479,26481,2648492,0,0,0,20363280,38629,7941,110640,25768,47533,230511,2239061,273331,340282,32249,2884923,0,2728,0,184215,0,3302377,1802146,0,322688,322688,0,0,0,368435,2493269,0,518304,0,0,0,8975,0,238268,0,765547,546127,1418662,730234,1206727,1936961,141500,7860,1442355,0,5493465,0,0,0,0,0,0,503357,143239,89238,0,298593,123237,1157664,699965,0,68715,,4663,0,106644,0,879987,0,0,0,0,0,0,0,0,0,0,0,0,14092309
Clare,Rural Municipality,2017-18,4733687,1337230,0,8526,1345756,463256,25208,488464,0,0,0,0,0,37105,0,0,37105,6605012,22721,143864,282195,-211504,237276,89961,0,89961,-1733449,-121793,-35448,-1890690,5041559,21428,105229,6856,12623,124708,146136,0,0,311037,311037,0,0,0,0,0,0,0,154410,0,32560,186970,32825,34124,356180,0,55889,97767,66832,643617,223087,5905,15607,0,0,117203,361802,44686,369798,0,0,414484,0,0,0,7105605,30613,10295,134174,10495,0,185577,619548,90225,250788,0,960561,0,0,0,50508,80544,1277190,1107539,0,293071,293071,17358,0,25974,238669,1682611,0,65356,0,0,23000,0,0,0,0,88356,168440,523652,47952,491071,539023,0,0,318955,34952,1585022,481110,76319,0,194864,0,752293,21359,45621,0,0,0,320438,387418,457718,62322,53377,,0,0,12295,82521,668233,0,0,0,0,0,0,0,0,0,0,0,0,6441123
Colchester,Rural Municipality,2017-18,17630245,6163247,0,76946,6240193,539947,84648,624595,0,440552,242003,0,682555,140605,0,0,140605,25318193,4235800,334048,4882143,-4801561,4650430,1056254,85043,1141297,-7274880,-467843,-133594,-7876317,23233603,167664,610085,1621,0,611706,779370,0,0,1692094,1692094,0,0,0,0,3396052,0,0,0,0,0,3396052,57578,0,0,0,40316,487018,4893988,5478899,294415,19424,131981,0,445301,0,891121,1496381,0,118294,404665,2019340,0,723294,0,38213773,48514,0,275972,65212,0,389698,1840239,490209,663898,132681,3127027,0,0,0,271060,1471321,5259106,4853606,28865,471164,500029,12323,61518,70225,741932,6239633,0,1332475,0,0,0,0,0,1051453,0,2383928,3182931,4539016,132692,2049765,2182457,91103,0,4134199,0,14129706,0,106745,0,0,0,106745,155173,628343,63180,0,16585,4094,867375,2108089,67481,235574,,422045,0,1041435,1244257,5118881,0,0,0,0,587502,1111,259981,848594,0,0,0,0,34953968
Cumberland,Rural Municipality,2017-18,12831702,3057015,236162,94837,3388014,428119,99334,527453,0,6346,296922,3187,306455,119277,259761,7233,386271,17439895,1524050,1197697,181687,-181687,2721747,795118,1467548,2262666,-4483116,-323309,-234134,-5040559,17383749,2063630,187746,16605,0,204351,2267981,0,0,35687,35687,0,0,0,0,1549194,17107384,0,0,0,0,18656578,34637,16276,184404,52454,71533,624698,109161,1093163,1699934,20209,83724,0,0,0,1803867,1201962,6463232,6345189,25000,14035383,0,1451228,0,56727636,37837,5118,270293,42289,7819,363356,1856059,362594,539797,50736,2809186,423726,1080,46260,195070,1566510,5405188,4391145,83109,1329732,1412841,11774,0,642946,940548,7399254,1315574,952097,0,0,0,6486,0,0,0,2274157,997198,1519152,214768,1592639,1807407,19463,0,56565,53134,4452919,0,344243,0,1725056,16021577,18090876,215307,660008,0,0,0,0,875315,1238544,80943,135997,,3862,0,440988,237554,2137888,0,0,0,0,870847,72182,249844,1192873,0,0,0,0,41828471
Digby,Rural Municipality,2017-18,4538708,824731,38227,33707,896665,333915,23545,357460,1761,2030,17568,6548,27907,47012,194504,0,241516,6062256,90644,169106,458886,-452213,266423,232931,0,232931,-1412249,-106096,-38155,-1556500,5005110,27351,116925,349,0,117274,144625,0,0,83313,83313,725,5400,0,82606,0,0,0,0,0,0,88731,8714,29611,0,0,62619,130034,428590,659568,333616,512705,16623,0,9238,0,872182,0,0,478851,0,478851,0,0,0,7332380,33085,9063,92737,40812,3005,178702,421896,75619,189587,17910,705012,6064,0,0,40854,606416,1537048,1275847,37772,414234,452006,0,0,14023,485644,2227520,104282,70484,80711,0,218800,0,0,139032,75900,689209,163252,957401,0,0,0,21878,0,228583,0,1371114,0,0,0,0,0,0,26831,98612,13822,0,104087,168088,411440,364927,46341,48653,,0,0,13290,68890,542101,0,0,0,0,0,0,0,0,0,0,0,0,6778432
East Hants,Rural Municipality,2017-18,12906337,3659843,38182,22995,3721020,411165,44610,455775,0,0,111049,0,111049,101717,65812,0,167529,17361710,6722414,788837,0,0,7511251,1275822,0,1275822,-4953756,-286763,-59788,-5300307,20848476,51787,124715,1508,0,126223,178010,0,0,0,0,322099,0,0,0,518950,0,14610,207550,0,0,1063209,100580,45840,340043,0,334981,128694,688637,1638775,0,2633,64386,0,98473,0,165492,847111,1937299,1005313,0,3789723,0,1850039,0,29533724,39069,5187,211604,16760,46002,318622,3076767,852763,385009,209981,4524520,22387,275945,22635,-425443,0,4738666,3607036,0,3006966,3006966,34382,393,25823,381307,7055907,0,701174,0,0,0,243854,4332,1037755,0,1987115,898494,1905354,-56671,484862,428191,121824,3115,858877,313651,4529506,0,0,0,0,0,0,583221,0,128646,3741,-45094,554891,1225405,469625,50186,141986,,124286,9222,94333,1056671,1946309,0,0,0,0,1394320,208127,356023,1958470,0,0,0,0,23441378
Guysborough,Rural Municipality,2017-18,1637111,4121787,0,260,4122047,229154,30314,259468,0,91071,12617,0,103688,46726,85657,0,132383,6254697,640269,81525,161554,-161554,721794,72657,0,72657,-1348191,-92726,-45442,-1486359,5562789,61396,194964,17629,13727,226320,287716,0,0,5070654,5070654,0,0,0,0,601020,5996640,0,21565,3468494,0,10087719,10394,3908,3515,0,39555,81687,779477,918536,84678,127787,86745,0,0,0,299210,0,7277,4068681,0,4075958,0,370173,873563,27546318,39286,5537,156492,19790,17038,238143,773927,71175,172595,71252,1088949,43947,4185,0,50574,1204300,2630098,1244731,0,722792,722792,0,0,12286,101692,2081501,0,400435,0,0,0,0,0,193893,0,594328,346564,2280673,595565,0,595565,0,0,751602,0,3974404,5721222,69886,0,50154,0,5841262,2174228,0,264346,0,818819,0,3257393,0,23807,35342,,0,0,130697,972440,1162286,0,31972,0,31972,285121,0,88443,373564,864873,0,25660,890533,20837341
Inverness,Rural Municipality,2017-18,7867292,1751620,0,0,1751620,1545930,42758,1588688,0,0,85709,0,85709,115251,156609,0,271860,11565169,821417,178376,951433,-951433,999793,672356,-605314,67042,-3030999,-210999,-160175,-3402173,9229831,98188,282388,0,17101,299489,397677,0,0,201354,201354,0,0,0,0,158726,15288561,0,55348,0,67542,15570177,530,6520,26949,0,43795,237902,506869,822565,378055,24879,29223,0,25738,19834,477729,0,0,130528,2656693,2787221,0,511259,0,29997813,48042,3741,166145,37197,18016,273141,661687,344180,395965,288035,1689867,-78757,0,11996,58697,-142450,1812494,2504762,0,156676,156676,0,0,0,13346,2674784,352378,399059,7774,0,160000,0,0,180046,-59229,1040028,679802,1863430,0,0,0,37749,0,652218,85541,3318740,12188296,1249763,0,1680794,0,15118853,200020,313094,0,0,0,326597,839711,261791,15584,107900,,0,0,0,311379,696654,0,271501,0,271501,864412,27844,0,892256,0,0,0,0,26665021
Kings,Rural Municipality,2017-18,24941900,8254700,0,26800,8281500,1140600,46400,1187000,9700,0,299100,0,308800,196300,0,0,196300,34915500,125800,3869600,3761900,-3761900,3995400,0,-706300,-706300,-11532600,-638100,-198500,-12369200,25835400,2748700,206900,0,0,206900,2955600,0,0,3586900,3586900,0,3100,360300,0,1645300,12275700,11600,97100,0,0,14393100,175500,37600,3000,0,512800,291600,1635800,2656300,0,562400,93600,0,0,0,656000,1486078,511015,29758378,489929,32245400,0,1092400,0,83421100,50100,6500,304800,54800,62600,478800,3160500,657700,809700,42400,4670300,30200,31900,1600,84400,497200,5794400,7028200,0,2563900,2563900,0,0,8900,941100,10542100,0,576900,-7700,0,1462400,5700,0,631100,27600,2696000,2928400,8332400,0,75900,75900,125600,0,1839300,540700,13842300,39532600,186900,0,925300,0,40644800,684200,1125500,0,0,15900,28500,1854100,111600,0,305300,,0,0,54300,1196000,1667200,0,0,0,0,532000,8900,141900,682800,0,0,0,0,77723700
Lunenburg,Rural Municipality,2017-18,18955828,2574955,-20504,738,2555189,969380,62663,1032043,0,0,49881,35638,85519,89055,25382,0,114437,22743016,267469,599875,3067539,-3067539,867344,1485672,0,1485672,-7810561,-436267,-30261,-8277089,16818943,42557,146481,0,9116,155597,198154,0,0,0,0,0,0,0,18912,0,0,0,93071,0,0,111983,64211,96022,138297,0,507829,280897,989355,2076611,0,4067,55352,0,0,0,59419,1204981,270672,70638,221684,1767975,0,0,0,21033085,46968,12040,254648,50892,5874,370422,1178334,146770,680693,42819,2048616,-36802,0,2828,61936,1613068,4060068,3259505,54028,259561,313589,0,0,1486,427885,4002465,307351,859362,0,0,0,0,0,203611,0,1370324,566035,2158568,0,589591,589591,25080,0,456438,-93619,3702093,0,0,0,0,0,0,391886,60000,220206,0,87209,449961,1209262,2050835,0,159715,,0,0,591531,0,2802081,0,0,0,0,0,0,0,0,0,0,0,0,17146293
Pictou,Rural Municipality,2017-18,10209051,3049696,49151,42674,3141521,680622,70402,751024,5617,2668,153778,150,162213,92437,675401,116130,883968,15147777,2509256,861711,0,0,3370967,523630,0,523630,-4770074,-309878,-96745,-5176697,13865677,10754,178175,67769,0,245944,256698,0,0,2767,2767,0,0,0,0,0,0,0,0,212402,0,212402,36596,19807,126868,0,94674,218340,749432,1245717,270601,10631,49054,0,0,0,330286,1036685,6516,4535409,0,5578610,0,300292,0,21792449,49530,9522,208051,71287,650,339040,1154097,31180,488400,1038,1674715,-354862,0,0,125788,599630,2384311,3255077,724752,2006311,2731063,0,0,0,232586,6218726,0,353474,0,0,0,0,0,295783,0,649257,901249,1511078,0,0,0,0,0,935325,3710,3351362,0,0,0,0,523630,523630,83784,178168,0,0,218694,124075,604721,261607,46579,186904,,0,0,0,301837,796927,0,0,0,0,352796,0,39891,392687,0,0,0,0,14921621
Richmond,Rural Municipality,2017-18,4794732,3437282,0,6275,3443557,987450,13173,1000623,0,0,0,0,0,46086,157860,0,203946,9442858,493071,0,936594,-936594,493071,401423,-100638,300785,-2635871,-154243,-64373,-2854487,7382227,29798,109228,0,5936,115164,144962,0,0,0,0,0,0,0,0,0,7907384,0,225195,0,0,8132579,5757,0,0,0,64359,244446,418059,732621,0,1661694,0,0,0,0,1661694,0,4000,2026997,0,2030997,0,517034,0,20602114,39404,12740,89321,10047,0,151512,2119582,1032165,270644,0,3422391,97754,15906,0,70528,35788,3793879,1333626,314089,15047,329136,9953,0,406,59679,1732800,0,511509,15000,0,0,11945,0,25053,0,563507,501618,308117,15000,583710,598710,57446,0,395612,266692,2128195,6309600,396824,0,554780,0,7261204,177908,617541,0,0,26363,0,821812,677384,31973,65002,,0,0,0,0,774359,-18356,188135,0,169779,268455,0,74899,343354,0,0,0,0,17588889
Shelburne,Rural Municipality,2017-18,3807362,561628,0,733,562361,660270,12603,672873,0,0,2438,0,2438,29962,0,0,29962,5074996,12171,71987,0,0,84158,221766,0,221766,-1176039,-78301,-14623,-1268963,4111957,6993,187385,2692,9842,199919,206912,0,0,380696,380696,0,83292,0,0,162479,0,16946,24752,25536,3370,316375,5269,18945,62067,0,60822,83338,121235,351676,75128,27126,13165,0,0,0,115419,237630,1738,0,0,239368,0,0,0,5722403,24734,0,99574,19565,2285,146158,1226101,137911,139638,0,1503650,30000,0,4245,61381,0,1745434,700162,54419,357804,412223,0,0,6540,334474,1453399,0,187458,0,0,7602,0,0,1806,0,196866,98450,998968,0,0,0,0,0,165470,0,1262888,0,0,0,0,61500,61500,0,55568,0,0,71740,0,127308,308027,0,29400,,0,0,9544,100986,447957,0,0,0,0,0,0,0,0,0,0,0,0,5295352
St. Mary's,Rural Municipality,2017-18,1144867,611071,0,28756,639827,190840,14166,205006,0,0,10086,0,10086,19930,0,0,19930,2019716,264067,78685,129701,-130601,341852,56812,0,56812,-541113,-43619,-15274,-600006,1818374,19384,136282,0,0,136282,155666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210,4333,33150,0,25413,64846,22415,153367,175430,3192,8365,0,0,0,186987,142037,876848,1307,0,1020192,0,141977,0,3476563,20230,5721,79797,18391,608,124747,254251,40908,88575,0,383734,16184,20164,0,68073,179278,792180,468796,0,70366,70366,0,0,0,27139,566301,0,94241,0,0,0,0,0,0,0,94241,124634,450484,0,0,0,0,0,56807,0,631925,0,0,0,0,0,0,24323,96807,0,0,0,35756,156886,185941,9010,16927,,0,0,70530,1500,283908,0,0,0,0,123178,0,21304,144482,0,0,0,0,2669923
Victoria,Rural Municipality,2017-18,6142513,1371193,0,0,1371193,1083287,13665,1096952,0,0,13207,0,13207,66000,0,0,66000,8689865,0,0,197349,-204782,-7433,203119,0,203119,-2206460,-134267,-44245,-2384972,6500579,260611,277338,0,15431,292769,553380,0,0,48300,48300,17059,0,0,0,781964,10620198,0,0,0,0,11419221,1960,18642,9606,0,34370,188689,35879,289146,0,1149331,26711,0,67602,15110,1258754,363948,0,0,175457,539405,0,606457,0,21215242,37916,0,147794,0,55785,241495,1031755,122863,215509,246646,1616773,0,8199,13085,35000,574431,2488983,1555913,298075,452431,750506,0,0,0,241398,2547817,128466,274586,0,0,0,0,0,0,189414,592466,0,783872,0,1638516,1638516,0,0,0,21113,2443501,8434434,1171465,0,997815,0,10603714,0,119103,0,0,0,52229,171332,257123,33346,67777,,0,0,229638,0,587884,0,0,0,0,518089,0,98175,616264,0,0,0,0,20051961
West Hants,Rural Municipality,2017-18,10233018,1453368,0,19329,1472697,369101,22953,392054,5653,0,82552,0,88205,61141,125988,141881,329010,12514984,123280,806221,0,0,929501,521815,16043,537858,-3276457,-202167,-61822,-3540446,10441897,61905,60336,0,0,60336,122241,0,71998,409649,481647,0,0,0,0,0,0,0,33380,125988,1048658,1208026,43674,19404,3600,0,92193,243278,188522,590671,132305,196548,60465,0,5101,434112,828531,465974,972356,2513917,0,3952247,0,1397148,0,19022408,39954,2118,171139,7250,49110,269571,952663,54649,268098,0,1275410,0,2708,0,529816,521176,2598682,2367378,155095,1255679,1410774,115469,0,756712,382264,5032597,248931,355700,0,0,0,4825,0,179220,0,788676,682816,750216,0,63414,63414,40175,0,354372,0,1890993,0,0,0,0,0,0,501683,50262,0,0,0,80530,632475,759115,22244,95764,,0,0,0,0,877123,-206775,54038,0,-152737,1292917,48942,316196,1658055,0,0,0,0,13325863
